Created as New Dataset;Sample 052 By Administrator Date donderdag, februari 26 2026
cm-1;%T
2754,00;98,85
2753,00;99,00
2752,00;98,98
2751,00;99,02
2750,00;98,97
2749,00;98,96
2748,00;99,05
2747,00;99,16
2746,00;99,09
2745,00;99,15
2744,00;98,86
2743,00;99,08
2742,00;99,14
2741,00;99,10
2740,00;98,93
2739,00;99,10
2738,00;99,09
2737,00;98,93
2736,00;98,79
2735,00;98,99
2734,00;99,06
2733,00;98,99
2732,00;98,93
2731,00;99,08
2730,00;99,00
2729,00;98,85
2728,00;99,00
2727,00;98,97
2726,00;98,95
2725,00;99,02
2724,00;98,96
2723,00;99,19
2722,00;98,95
2721,00;99,00
2720,00;99,01
2719,00;98,97
2718,00;99,11
2717,00;98,97
2716,00;99,01
2715,00;98,93
2714,00;98,93
2713,00;99,23
2712,00;98,98
2711,00;99,08
2710,00;99,17
2709,00;99,14
2708,00;99,02
2707,00;99,04
2706,00;98,96
2705,00;99,07
2704,00;99,07
2703,00;98,89
2702,00;98,96
2701,00;98,92
2700,00;98,91
2699,00;99,10
2698,00;98,97
2697,00;99,05
2696,00;99,10
2695,00;98,94
2694,00;98,79
2693,00;99,09
2692,00;99,14
2691,00;99,07
2690,00;99,11
2689,00;99,00
2688,00;99,03
2687,00;98,79
2686,00;98,95
2685,00;99,03
2684,00;98,99
2683,00;98,99
2682,00;98,92
2681,00;98,89
2680,00;99,00
2679,00;99,05
2678,00;99,13
2677,00;99,07
2676,00;98,98
2675,00;99,08
2674,00;99,01
2673,00;98,86
2672,00;98,83
2671,00;98,79
2670,00;99,04
2669,00;98,94
2668,00;98,92
2667,00;98,86
2666,00;98,97
2665,00;98,90
2664,00;99,00
2663,00;99,05
2662,00;98,98
2661,00;98,97
2660,00;98,89
2659,00;99,00
2658,00;99,13
2657,00;98,89
2656,00;98,94
2655,00;98,96
2654,00;99,03
2653,00;98,70
2652,00;98,83
2651,00;98,82
2650,00;98,85
2649,00;98,86
2648,00;98,85
2647,00;98,93
2646,00;99,02
2645,00;98,97
2644,00;98,92
2643,00;98,68
2642,00;98,92
2641,00;98,88
2640,00;98,91
2639,00;98,85
2638,00;99,01
2637,00;99,15
2636,00;98,88
2635,00;98,75
2634,00;98,94
2633,00;98,85
2632,00;98,76
2631,00;98,84
2630,00;99,14
2629,00;99,10
2628,00;98,94
2627,00;98,88
2626,00;98,89
2625,00;98,87
2624,00;99,14
2623,00;98,85
2622,00;98,75
2621,00;98,99
2620,00;98,98
2619,00;99,01
2618,00;98,96
2617,00;98,77
2616,00;98,83
2615,00;99,11
2614,00;99,06
2613,00;98,93
2612,00;98,71
2611,00;98,75
2610,00;99,05
2609,00;98,86
2608,00;98,99
2607,00;99,05
2606,00;99,08
2605,00;98,99
2604,00;98,93
2603,00;98,83
2602,00;98,75
2601,00;98,77
2600,00;99,02
2599,00;98,85
2598,00;98,83
2597,00;98,81
2596,00;98,87
2595,00;98,92
2594,00;99,06
2593,00;98,87
2592,00;98,99
2591,00;98,73
2590,00;98,94
2589,00;99,03
2588,00;98,89
2587,00;99,07
2586,00;98,96
2585,00;98,90
2584,00;98,89
2583,00;99,01
2582,00;99,07
2581,00;98,96
2580,00;99,16
2579,00;99,03
2578,00;98,92
2577,00;98,91
2576,00;98,66
2575,00;98,79
2574,00;99,11
2573,00;99,07
2572,00;99,05
2571,00;98,96
2570,00;98,91
2569,00;99,19
2568,00;99,16
2567,00;99,00
2566,00;98,89
2565,00;98,80
2564,00;98,84
2563,00;99,01
2562,00;98,99
2561,00;98,87
2560,00;98,91
2559,00;98,92
2558,00;99,15
2557,00;98,94
2556,00;99,23
2555,00;98,75
2554,00;98,96
2553,00;99,00
2552,00;98,92
2551,00;99,03
2550,00;99,14
2549,00;99,06
2548,00;98,87
2547,00;99,08
2546,00;98,76
2545,00;98,63
2544,00;98,90
2543,00;98,77
2542,00;98,99
2541,00;98,76
2540,00;99,12
2539,00;98,98
2538,00;98,81
2537,00;98,88
2536,00;98,80
2535,00;98,97
2534,00;99,02
2533,00;98,82
2532,00;98,80
2531,00;98,88
2530,00;99,05
2529,00;99,12
2528,00;98,97
2527,00;99,04
2526,00;98,89
2525,00;98,78
2524,00;98,68
2523,00;98,80
2522,00;99,00
2521,00;99,03
2520,00;99,26
2519,00;98,78
2518,00;98,67
2517,00;99,03
2516,00;98,77
2515,00;99,03
2514,00;99,05
2513,00;98,99
2512,00;98,85
2511,00;98,87
2510,00;99,17
2509,00;99,06
2508,00;99,05
2507,00;98,94
2506,00;99,23
2505,00;99,19
2504,00;99,09
2503,00;98,90
2502,00;98,94
2501,00;99,03
2500,00;99,33
2499,00;99,06
2498,00;99,14
2497,00;98,97
2496,00;99,12
2495,00;98,99
2494,00;98,82
2493,00;99,29
2492,00;99,19
2491,00;99,01
2490,00;98,85
2489,00;98,77
2488,00;98,82
2487,00;99,20
2486,00;98,93
2485,00;99,12
2484,00;98,83
2483,00;98,95
2482,00;98,89
2481,00;98,69
2480,00;98,92
2479,00;99,16
2478,00;99,10
2477,00;99,21
2476,00;98,71
2475,00;99,31
2474,00;99,16
2473,00;98,81
2472,00;99,17
2471,00;99,05
2470,00;98,95
